id,tool_id,tool_name,category,description,total_quantity,available_quantity,unit_price,created_at
122,null,"RS-232 to Rs-485 convertor(ADAM)","General","RS-232 to Rs-485 convertor(ADAM)",10,10,"0.00","2026-07-02T04:46:52.686Z"
123,null,"RS-232 to Rs-485 convertor(WAVESHARE)","General","RS-232 to Rs-485 convertor(WAVESHARE)",10,10,"0.00","2026-07-02T04:46:52.692Z"
124,null,"USB to RS-485 convertor","General","USB to RS-485 convertor",10,10,"0.00","2026-07-02T04:46:52.697Z"
125,null,"Power supply for Waveshare","General","Power supply for Waveshare",10,10,"0.00","2026-07-02T04:46:52.702Z"
126,null,"USB to RS-232 covertor","General","USB to RS-232 covertor",10,10,"0.00","2026-07-02T04:46:52.708Z"
127,null,"RS -232 cable","General","RS -232 cable",10,10,"0.00","2026-07-02T04:46:52.714Z"
128,null,"24 volt Power Supply","General","24 volt Power Supply",10,10,"0.00","2026-07-02T04:46:52.719Z"
129,null,"TP-Link_313C","General","TP-Link_313C",10,10,"0.00","2026-07-02T04:46:52.725Z"
130,null,"USB charger","General","USB charger",10,10,"0.00","2026-07-02T04:46:52.734Z"
131,null,"USB  4G dongle","General","USB  4G dongle",10,10,"0.00","2026-07-02T04:46:52.739Z"
132,null,"Camera lens","General","Camera lens",10,10,"0.00","2026-07-02T04:46:52.745Z"
133,null,"Junction box","General","Junction box",10,10,"0.00","2026-07-02T04:46:52.751Z"
134,null,"Missblank parts","General","Missblank parts",10,10,"0.00","2026-07-02T04:46:52.756Z"
135,null,"CPU units","General","CPU units",10,10,"0.00","2026-07-02T04:46:52.762Z"
136,null,"Master control Unit","General","Master control Unit",10,10,"0.00","2026-07-02T04:46:52.768Z"
137,null,"Expandable modular 4-Input","General","Expandable modular 4-Input",10,10,"0.00","2026-07-02T04:46:52.774Z"
138,null,"spanner set","General","spanner set",10,10,"0.00","2026-07-02T04:46:52.779Z"
139,null,"Buzzer","General","Buzzer",10,10,"0.00","2026-07-02T04:46:52.785Z"
140,null,"Flash light","General","Flash light",10,10,"0.00","2026-07-02T04:46:52.791Z"
141,null,"19mm Collar","General","19mm Collar",10,10,"0.00","2026-07-02T04:46:52.797Z"
142,null,"19mm Base sedal toplite","General","19mm Base sedal toplite",10,10,"0.00","2026-07-02T04:46:52.803Z"
143,null,"19mm band PU","General","19mm band PU",10,10,"0.00","2026-07-02T04:46:52.809Z"
144,null,"19mm mold pipe","General","19mm mold pipe",10,10,"0.00","2026-07-02T04:46:52.815Z"
145,null,"10mm Flexible pipe","General","10mm Flexible pipe",10,10,"0.00","2026-07-02T04:46:52.821Z"
147,null,"Table Fan","General","Table Fan",10,10,"0.00","2026-07-02T04:46:52.833Z"
148,null,"Improvar","General","Improvar",10,10,"0.00","2026-07-02T04:46:52.840Z"
149,null,"USB Hub","General","USB Hub",10,10,"0.00","2026-07-02T04:46:52.846Z"
150,null,"Button with lamp 24V assembled in box","General","Button with lamp 24V assembled in box",10,10,"0.00","2026-07-02T04:46:52.852Z"
151,null,"Relay","General","Relay",10,10,"0.00","2026-07-02T04:46:52.859Z"
152,null,"Inductive proximity sensor","General","Inductive proximity sensor",10,10,"0.00","2026-07-02T04:46:52.864Z"
153,null,"wires","General","wires",10,10,"0.00","2026-07-02T04:46:52.870Z"
154,null,"Expandable modular 8 Input module","General","Expandable modular 8 Input module",10,10,"0.00","2026-07-02T04:46:52.875Z"
155,null,"Selector switch","General","Selector switch",10,10,"0.00","2026-07-02T04:46:52.882Z"
156,null,"Screw driver","General","Screw driver",10,10,"0.00","2026-07-02T04:46:52.888Z"
157,null,"expandable modular output module","General","expandable modular output module",10,10,"0.00","2026-07-02T04:46:52.895Z"
158,null,"SSR switch","General","SSR switch",10,10,"0.00","2026-07-02T04:46:52.901Z"
159,null,"Blue Caps","General","Blue Caps",10,10,"0.00","2026-07-02T04:46:52.909Z"
160,null,"Extender USB","General","Extender USB",10,10,"0.00","2026-07-02T04:46:52.914Z"
161,null,"Autonics sensor","General","Autonics sensor",10,10,"0.00","2026-07-02T04:46:52.921Z"
162,null,"hammer tool","General","hammer tool",10,10,"0.00","2026-07-02T04:46:52.931Z"
163,null,"24V ETH switch","General","24V ETH switch",10,10,"0.00","2026-07-02T04:46:52.938Z"
164,null,"USB to ETH Convertor","General","USB to ETH Convertor",10,10,"0.00","2026-07-02T04:46:52.944Z"
165,null,"Light with Remote","General","Light with Remote",10,10,"0.00","2026-07-02T04:46:52.950Z"
166,null,"Trypod Stand","General","Trypod Stand",10,10,"0.00","2026-07-02T04:46:52.956Z"
167,null,"Hik-Vision camera with power adapter","General","Hik-Vision camera with power adapter",10,10,"0.00","2026-07-02T04:46:52.962Z"
168,null,"IMAGE PROCESSING DEVICE","General","IMAGE PROCESSING DEVICE",10,10,"0.00","2026-07-02T04:46:52.969Z"
169,null,"E-link paper HDMI Display + HDMI cable","General","E-link paper HDMI Display + HDMI cable",10,10,"0.00","2026-07-02T04:46:52.976Z"
170,null,"IP Camera 5MP","General","IP Camera 5MP",10,10,"0.00","2026-07-02T04:46:52.982Z"
171,null,"Network router","General","Network router",10,10,"0.00","2026-07-02T04:46:52.991Z"
172,null,"wall mount rack","General","wall mount rack",10,10,"0.00","2026-07-02T04:46:52.997Z"
173,null,"5*5 camera mounting box","General","5*5 camera mounting box",10,10,"0.00","2026-07-02T04:46:53.003Z"
174,null,"ups","General","ups",10,10,"0.00","2026-07-02T04:46:53.011Z"
175,null,"USB camera","General","USB camera",10,10,"0.00","2026-07-02T04:46:53.017Z"
176,null,"Electrical Panel includes - SMPS 24V/5A - Relay - Pushbutton - Pushbutton with box for inside user - Other essential accessories for wiring and - Electromagnetic lock - internal wiring","General","Electrical Panel includes - SMPS 24V/5A - Relay - Pushbutton - Pushbutton with box for inside user - Other essential accessories for wiring and - Electromagnetic lock - internal wiring",10,10,"0.00","2026-07-02T04:46:53.024Z"
177,null,"MCU48440","General","MCU48440",10,10,"0.00","2026-07-02T04:46:53.030Z"
178,null,"Display cable to HDMI converter cable","General","Display cable to HDMI converter cable",10,10,"0.00","2026-07-02T04:46:53.037Z"
